Name,Price ($),Air Extraction Rate (m3h),Decibel Level (dBA),URL
White Hybrid Round DIY Exhaust Fan,228,482,36,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-hybrid-round-diy-exhaust-fan-23127
200 Luna White Pro DIY Exhaust Fan,85,270,40,https://www.ceilingfansdirect.com.au/product/exhaust-fans/200mm-luna-white-pro-diy-exhaust-fan-23109
100mm Ventair All Purpose Wall/Ceiling Exhaust Fan With Timer,118,85,34,https://www.ceilingfansdirect.com.au/product/exhaust-fans/100mm-ventair-all-purpose-wall-ceiling-exhaust-fan-with-timer-21773
100mm Ventair All Purpose Wall/Ceiling Exhaust Fan,73,70,34,https://www.ceilingfansdirect.com.au/product/exhaust-fans/100mm-ventair-all-purpose-wall-ceiling-exhaust-fan-21733
100 Slimline PRO-V Wall/Ceiling Exhaust Fan,78,70,34,https://www.ceilingfansdirect.com.au/product/exhaust-fans/100-slimline-pro-v-wall-ceiling-exhaust-fan-21276
Small Martec White Saturn DIY Square Bathroom Exhaust Fan With Flex & Plug,75,270,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/small-martec-white-saturn-diy-square-bathroom-exhaust-fan-with-flex-plug-20937
Round White 3A Bathroom DIY Exhaust Fan,58,270,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/round-white-3a-bathroom-diy-exhaust-fan-20692
Small Martec White Flow Square Low Profile DIY Exhaust Fan,145,290,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-martec-white-flow-square-low-profile-diy-exhaust-fan-19363
White Square Ventair Glass Panel Airbus 200 Pro-V IP44 Bathroom Exhaust Fan,148,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-square-ventair-glass-panel-airbus-200-pro-v-ip44-bathroom-exhaust-fan-19196
White Round Ventair Glass Panel Airbus 200 Pro-V IP44 Bathroom Exhaust Fan,148,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-round-ventair-glass-panel-airbus-200-pro-v-ip44-bathroom-exhaust-fan-19192
White Square Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,128,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-square-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14072
White Round Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,128,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-round-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14063
White Square Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,168,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-square-ventair-airbus-250-pro-v-bathroom-exhaust-fan-14041
White Round Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,168,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-round-ventair-airbus-250-pro-v-bathroom-exhaust-fan-13884
Small Whisper DIY High Volume Round Exhaust Fan + Flex And Plug,59,500,50,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-whisper-diy-high-volume-round-exhaust-fan-flex-and-plug-9988
White Large Talon DIY Round Exhaust Fan + Flex And Plug,98,270,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-large-talon-diy-round-exhaust-fan-flex-and-plug-9963
White Large Sarico II DIY Square Exhaust Fan + Flex And Plug,79,270,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-large-sarico-ii-diy-square-exhaust-fan-flex-and-plug-9925
White Ventair Universal 150mm Indoor Wall/Ceiling Exhaust Fan,128,210,39,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-ventair-universal-150mm-indoor-wall-ceiling-exhaust-fan-4084
"8"" Ultraflo High Volume White Exhaust Fan",75,480,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/8--ultraflo-high-volume-white-exhaust-fan-4081
